gamma,mu_eta,sigma_eta2,rho_omega,sigma_nu2,epsilon,delta,avg_isr,var_log1p_isr,avg_gross_margin,gamma_OLS,rho_omega_ar1,sigma_eta2_ar1,avg_opex_sales,any_inventory_above_grid,failed,fail_code
1.367605717749214,-1.8935626474480867,0.49742173627709907,0.12089985450696399,0.18340270991494576,18.029414561313825,0.09027957334754047,0.9674986197853445,0.016258528644734163,1.2326486743981424,-2.6450837787751356,-0.1257949888513076,0.03186362279673593,0.02714044712348798,False,False,0
1.4312420813855775,-1.6744587274698042,0.12819096704632982,0.1385469133304934,0.2800693765816124,8.029414561313825,0.021879573347540465,1.5546316227632493,0.08064714127970263,1.2996226230185437,0.8967616306131521,-0.01586194187550892,0.015833340923937265,0.04718990294698411,False,False,0
1.4948784450219414,-1.493663529936035,0.15896019781556064,0.1561939721540228,0.11895826547050128,16.029414561313825,0.03987957334754047,1.0642228089189796,0.018265251375719736,1.1964498047042325,-0.6720017555607071,-0.06773888445006841,0.011683507645018956,0.03509837132787004,False,False,0
0.864299932625247,-1.3402518189122643,0.1897294285847914,0.17384103097755216,0.21562493213716796,12.029414561313825,0.057879573347540465,,,,,,,,False,True,1
0.9279362962616107,-2.719915836444426,0.22049865935402213,0.19148808980108165,0.022291598803834634,4.029414561313825,0.07587957334754047,0.7685400061519647,0.003330849608440663,1.525093133767479,-3.3993467389164027,-0.054817951421352165,0.024858448234405396,0.02883287112256633,False,False,0
0.9915726598979743,-2.2024706662088747,0.2512678901232529,0.209135148624611,0.15118048769272352,5.529414561313825,0.09387957334754046,0.9572716979362629,0.0237299214877708,1.4842787616525732,-0.9152662769396004,-0.0318002299178815,0.027670194777540076,0.04779181915907876,False,False,0
1.0552090235343379,-1.8385410201821637,0.2820371208924837,0.22678220744814048,0.2478471543593902,13.529414561313825,0.025479573347540467,1.6224853748147232,0.11129645417221302,1.2329395593484558,-0.06185898967891377,-0.0441954362017539,0.014561232762186531,0.06625297232062895,False,False,0
1.1188453871707016,-1.6004420640571175,0.31280635166171444,0.24546732855540687,0.05451382102605687,9.529414561313825,0.043479573347540476,1.0595095592539119,0.030946779381959083,1.3133459724681469,-0.6522554526245952,-0.05901622738254392,0.01030149845292227,0.0712214062361242,False,False,0
1.1824817508070653,-1.4126366161384198,0.3435755824309453,0.2631143873789363,0.06883480868037785,17.529414561313825,0.061479573347540464,1.0418962388893664,0.03546976265593905,1.248067605396064,-0.5071732337255246,-0.075140241795982,0.010933967565521093,0.06170841892578908,False,False,0
1.2461181144434288,-1.2569684183294705,0.374344813200176,0.2807614462024657,0.1655014753470445,7.529414561313825,0.07947957334754047,1.0191278250020381,0.03384999630745323,1.442700908376393,-0.8815025970828503,-0.08715505046269817,0.01979613133091873,0.06778406149196414,False,False,0
1.3097544780797925,-3.1434780540250453,0.40511404396940687,0.2984085050259951,0.26216814201371114,15.529414561313825,0.09747957334754045,1.014902142587428,0.021464727235858797,1.2150443608413655,-1.2667251097448737,-0.0018388067540894431,0.07744699472942868,0.004284787147507184,False,False,0
