table_number,table_title,2012_naics_code,data_item,kind_of_business,type_of_operation,year,estimate_value,estimate_flag
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Gross margins,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2019,,S
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Gross margins,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2020,,S
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Gross margins,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2021,57863,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Gross margins,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2022,,S
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Gross margins as a percent of sales,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",1992,,x
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Gross margins as a percent of sales,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2015,,S
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Gross margins as a percent of sales,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2016,,S
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Gross margins as a percent of sales,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2017,,S
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Gross margins as a percent of sales,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2018,31.8,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Gross margins as a percent of sales,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2019,,S
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Gross margins as a percent of sales,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2020,,S
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Gross margins as a percent of sales,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2021,32.7,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Gross margins as a percent of sales,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2022,,S
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Purchases,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2015,,S
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Purchases,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2016,,S
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Purchases,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2017,,S
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Purchases,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2018,94772,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Purchases,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2019,,S
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Purchases,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2020,,S
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Purchases,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2021,120875,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",42345,Purchases,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2022,,S
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1992,,x
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1993,14784,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1994,16576,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1995,17966,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1996,17839,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1997,18426,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1998,16959,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1999,16643,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2000,18874,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2001,15629,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2002,16224,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2003,15368,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2004,29267,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2005,25565,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2006,31742,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2007,24233,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2008,32508,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2009,10168,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2010,23503,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2011,28682,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2012,28305,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2013,25451,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2014,29899,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2015,21326,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2016,23552,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2017,29057,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2018,33528,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2019,26565,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2020,21598,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2021,46809,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2022,48376,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1992,,x
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1993,20.5,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1994,20.3,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1995,20.6,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1996,20.7,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1997,20.1,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1998,19.2,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1999,19.2,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2000,20.1,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2001,18.4,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2002,19.8,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2003,18.9,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2004,24.2,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2005,18.8,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2006,20.1,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2007,14.6,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2008,17.9,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2009,9,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2010,17,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2011,16.6,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2012,15.7,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2013,14.5,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2014,15.9,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2015,13.1,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2016,16.2,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2017,17.2,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2018,17.3,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2019,14.6,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2020,14.7,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2021,20.8,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Gross margins as a percent of sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2022,18.2,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Purchases,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1992,57227,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Purchases,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1993,58126,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Purchases,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1994,66392,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Purchases,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1995,68674,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Purchases,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1996,68772,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Purchases,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1997,73861,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Purchases,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1998,72164,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Purchases,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",1999,69907,
4,"Table 4. Estimated Annual Purchases, Gross Margins, and Gross Margins as a Percent of Sales for U.S. Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: 1992 through 2022",4235,Purchases,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2000,75594,
