table_number,table_title,2012_naics_code,data_item,kind_of_business,type_of_operation,year,estimate_value,estimate_flag
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2012,3166314,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2012,2393081,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2012,773233,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2013,3291381,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2013,2474447,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2013,816934,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2014,3440519,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2014,2580363,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2014,860156,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2015,3464281,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2015,2553993,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2015,910288,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2016,3477718,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2016,2549239,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2016,928479,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2017,3687804,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2017,2732543,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2017,955261,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2018,3949861,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2018,2925580,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2018,1024281,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2019,3942229,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2019,2912335,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2019,1029894,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2020,3791359,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2020,2853032,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2020,938327,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2021,4444360,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2021,3384599,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2021,1059761,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2022,5007726,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2022,3771544,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2022,1236182,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",1992,157842,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",1993,160302,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",1994,171071,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",1995,169736,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",1996,172064,
