table_number,table_title,source_url,2012_naics_code,data_item,kind_of_business,type_of_operation,year,estimate_value,estimate_flag,estimate_text
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4233,Operating expenses as a percent of sales,Lumber and Other Construction Materials,Merchant Wholesalers,2022,16.7,,16.7
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4234,Operating expenses as a percent of sales,Professional and Commercial Equipment and Supplies,Merchant Wholesalers,2022,21.4,,21.4
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,42343,Operating expenses as a percent of sales,Computer and Computer Peripheral Equipment and Software,Merchant Wholesalers,2022,14.3,,14.3
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,42345,Operating expenses as a percent of sales,"Medical, Dental, and Hospital Equipment and Supplies",Merchant Wholesalers,2022,26.6,,26.6
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4235,Operating expenses as a percent of sales,Metals and Minerals (except Petroleum),Merchant Wholesalers,2022,10.1,,10.1
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4236,Operating expenses as a percent of sales,Household Appliances and Electrical and Electronic Goods,Merchant Wholesalers,2022,17.0,,17
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4237,Operating expenses as a percent of sales,"Hardware, and Plumbing and Heating Equipment and Supplies",Merchant Wholesalers,2022,19.8,,19.8
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4238,Operating expenses as a percent of sales,"Machinery, Equipment, and Supplies",Merchant Wholesalers,2022,20.1,,20.1
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4239,Operating expenses as a percent of sales,Miscellaneous Durable Goods,Merchant Wholesalers,2022,18.0,,18
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,424,Operating expenses as a percent of sales,Nondurable Goods,Merchant Wholesalers,2022,10.0,,10
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4241,Operating expenses as a percent of sales,Paper and Paper Products,Merchant Wholesalers,2022,16.2,,16.2
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4242,Operating expenses as a percent of sales,Drugs and Druggists' Sundries,Merchant Wholesalers,2022,,S,S
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4243,Operating expenses as a percent of sales,"Apparel, Piece Goods, and Notions",Merchant Wholesalers,2022,26.1,,26.1
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4244,Operating expenses as a percent of sales,Grocery and Related Products,Merchant Wholesalers,2022,12.9,,12.9
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4245,Operating expenses as a percent of sales,Farm Product Raw Materials,Merchant Wholesalers,2022,5.4,,5.4
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4246,Operating expenses as a percent of sales,Chemicals and Allied Products,Merchant Wholesalers,2022,15.2,,15.2
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4247,Operating expenses as a percent of sales,Petroleum and Petroleum Products,Merchant Wholesalers,2022,2.3,,2.3
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4248,Operating expenses as a percent of sales,"Beer, Wine, and Distilled Alcoholic Beverages",Merchant Wholesalers,2022,18.5,,18.5
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4249,Operating expenses as a percent of sales,Miscellaneous Nondurable Goods,Merchant Wholesalers,2022,14.9,,14.9
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,42,Operating expenses,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2022,1059716.0,,1059716
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,423,Operating expenses,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2022,644863.0,,644863
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4231,Operating expenses,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",2022,70627.0,,70627
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4232,Operating expenses,Furniture and Home Furnishings,"Merchant Wholesalers, except manufacturers' sales branches and offices",2022,28920.0,,28920
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4233,Operating expenses,Lumber and Other Construction Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2022,42666.0,,42666
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4234,Operating expenses,Professional and Commercial Equipment and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",2022,117232.0,,117232
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,42343,Operating expenses,Computer and Computer Peripheral Equipment and Software,"Merchant Wholesalers, except manufacturers' sales branches and offices",2022,42128.0,,42128
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,42345,Operating expenses,"Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices",2022,44020.0,,44020
5,Table 5. Estimated Annual Operating Expenses and Operating Expenses as a Percent of Sales for U.S. Merchant Wholesalers: 2002 through 2022,https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_opex_table5.xlsx,4235,Operating expenses,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices",2022,27427.0,,27427
